Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Kiribati,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,0.03
Kuwait,21.92,21.58,21.24,20.89,20.15,19.35,18.56,17.83,17.08,17.11,17.07,17.03,17.0,16.98,16.41,15.91,15.3,14.66,14.22,14.05,13.88,13.76,13.63,13.44,12.48,11.54,10.54,9.63,8.89
Kyrgyzstan,15.64,15.32,15.07,14.8,14.57,14.09,13.68,13.35,13.0,12.84,12.25,12.01,11.84,11.68,12.06,11.42,11.9,11.63,11.33,11.13,11.73,12.33,12.36,12.84,14.34,18.97,22.33,25.42,24.8
Laos,23.92,24.75,26.46,24.7,24.35,24.07,23.81,21.26,25.15,21.44,20.2,24.39,19.62,20.76,23.65,19.36,18.65,17.62,19.5,20.39,22.59,20.64,21.23,20.25,20.58,20.01,20.24,19.96,20.59
Latvia,6.1,6.16,6.25,6.2,6.46,6.25,6.18,6.0,6.21,6.31,6.5,6.47,6.47,6.54,6.48,6.65,6.87,6.77,6.68,7.07,7.41,7.74,8.09,8.22,9.0,12.25,14.11,12.57,12.6
Lebanon,9.81,9.58,9.36,9.15,9.0,8.81,8.64,8.44,8.1,8.01,7.86,7.66,7.53,7.37,7.21,7.08,6.94,6.78,6.67,6.26,5.85,5.41,5.02,4.55,4.15,4.05,3.93,3.83,3.67
Lesotho,8.26,8.35,8.0,8.0,7.73,7.46,7.35,7.05,6.67,6.34,5.93,5.65,5.2,4.96,4.67,4.79,4.7,5.0,5.03,5.14,4.19,4.22,4.22,4.29,4.37,4.43,4.5,4.15,4.09
Liberia,24.54,24.26,23.99,24.57,21.89,19.58,17.6,15.66,13.64,13.94,12.49,11.9,11.48,10.75,10.48,10.25,9.86,9.58,9.35,8.97,8.59,8.13,7.68,7.36,7.92,8.47,9.08,9.64,10.26
Libya,147.92,132.17,116.39,100.54,147.78,194.99,242.14,289.36,336.54,334.19,331.85,329.69,327.31,324.78,314.88,304.94,295.04,285.26,275.47,275.08,274.62,273.59,273.03,272.08,271.31,270.7,270.15,269.61,269.01
Liechtenstein,0.06,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Lithuania,9.95,10.18,10.46,10.75,10.83,11.08,11.43,11.45,12.0,12.12,12.54,13.02,13.04,13.17,13.25,13.09,12.91,12.81,13.56,14.12,14.94,15.37,15.39,15.89,17.14,19.26,22.45,21.74,21.94
Luxembourg,1.67,1.7,1.7,1.7,1.7,1.68,1.66,1.68,1.75,1.75,1.76,1.75,1.73,1.73,1.75,1.75,1.81,1.78,1.76,1.85,1.79,1.79,1.82,1.82,1.81,1.85,1.85,1.88,1.86
Macedonia,7.97,7.97,7.88,7.79,7.69,7.61,7.6,7.75,7.61,7.5,7.68,7.51,7.51,7.42,7.58,7.45,6.98,7.06,7.24,7.0,7.32,7.38,7.48,7.48,7.37,7.58,7.5,8.12,8.27
Madagascar,55.25,52.62,56.35,55.03,54.59,53.98,57.61,56.5,57.91,57.85,56.74,58.96,57.34,59.45,52.74,53.96,50.59,53.29,55.57,57.2,57.61,55.78,56.46,55.17,54.64,55.36,54.21,53.3,53.2
Malawi,40.9,39.28,38.89,37.76,35.47,33.24,31.38,28.99,27.17,26.85,27.6,27.74,27.95,28.84,27.27,26.43,24.87,23.59,22.36,21.95,21.66,20.84,20.7,20.22,19.24,23.03,26.52,30.06,33.59
Malaysia,164.35,161.33,164.98,164.11,169.04,159.37,155.9,155.45,154.97,158.07,147.93,148.97,143.65,147.79,143.69,136.38,133.42,127.18,127.5,124.46,141.2,120.78,116.64,115.56,113.01,109.33,105.98,102.94,100.58
Maldives,0.39,0.38,0.36,0.35,0.33,0.32,0.3,0.29,0.27,0.27,0.26,0.24,0.23,0.21,0.21,0.21,0.2,0.18,0.18,0.18,0.18,0.17,0.15,0.15,0.15,0.15,0.15,0.14,0.12
Mali,71.73,69.43,67.99,62.55,60.44,59.59,57.61,56.17,55.0,51.46,51.41,49.12,47.3,47.5,45.73,42.2,40.44,39.59,43.41,44.71,42.32,35.49,33.67,32.45,31.73,31.18,30.81,30.74,30.83
Malta,0.66,0.66,0.65,0.62,0.59,0.56,0.59,0.57,0.63,0.59,0.58,0.8,0.77,0.77,0.72,0.71,0.68,0.65,0.68,0.65,0.61,0.61,0.59,0.56,0.58,0.56,0.55,0.49,0.47
Marshall Islands,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.02
